ProductID,ProductName,UnitPrice
1,Chai,18
2,Chang,19
4,Chef Anton's Cajun Seasoning,22
5,Chef Anton's Gumbo Mix,21.35
6,Grandma's Boysenberry Spread,25
11,Queso Cabrales,21
14,Tofu,23.25
15,Genen Shouyu,15.5
16,Pavlova,17.45
22,Gustaf's Knäckebröd,21
35,Steeleye Stout,18
36,Inlagd Sill,19
39,Chartreuse verte,18
40,Boston Crab Meat,18.4
44,Gula Malacca,19.45
49,Maxilaku,20
50,Valkoinen suklaa,16.25
55,Pâté chinois,24
57,Ravioli Angelo,19.5
65,Louisiana Fiery Hot Pepper Sauce,21.05
66,Louisiana Hot Spiced Okra,17
70,Outback Lager,15
71,Flotemysost,21.5
73,Röd Kaviar,15
76,Lakkalikööri,18
